Symbol,Price Today,Avg Price (July 30 2018 - Aug 10 2018),Delta #,Delta %,Buy Price,Qty,Current Value,Value at Purchase Time
APPN,34.69,32.93,1.76,5.34,0,0,0,0
NTB,51.96,50.98,0.98,1.92,0,0,0,0
BZUN,56.96,56.71,0.25,0.44,0,0,0,0
CTRL,33.09,29.93,3.16,10.56,0,0,0,0
COUP,71.3,63.72,7.58,11.90,0,0,0,0
CRSP,52.17,47.97,4.20,8.76,0,0,0,0
FIVN,48.19,37.65,10.54,27.99,0,0,0,0
GIII,45.81,44.64,1.17,2.62,0,0,0,0
KNSL,60.44,59.52,0.92,1.55,0,0,0,0
MMYT,30.8,33.88,-3.08,-9.09,0,0,0,0
MDB,71.91,58.67,13.24,22.57,0,0,0,0
NVEE,89.5,83.47,6.03,7.22,0,0,0,0
PJT,58.62,58.63,-0.01,-0.02,0,0,0,0
QTWO,62.65,60.77,1.88,3.09,0,0,0,0
SFIX,37.73,30.11,7.62,25.31,0,0,0,0
TLND,63.4,58.38,5.02,8.60,0,0,0,0
TTD,141.66,93.15,48.51,52.08,0,0,0,0
TRUP,37.22,39.39,-2.17,-5.51,0,0,0,0
VRNS,72.15,64.25,7.90,12.30,0,0,0,0
WD,53.61,54.74,-1.13,-2.06,0,0,0,0
